"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"201903	","03031200	","Other frozen Pacific salmon	","344	","Russian Federation	","4100891	","Kilogram	","0	","?	","9,417,205	",
"201903	","03031300	","Frozen Atlantic salmon and Danube salmon	","344	","Russian Federation	","1131	","Kilogram	","0	","?	","7,204	",
"201903	","03033110	","Frozen greenland halibut	","344	","Russian Federation	","459343	","Kilogram	","0	","?	","3,027,502	",
"201903	","03033190	","Other frozen halibut	","344	","Russian Federation	","125402	","Kilogram	","0	","?	","588,946	",
"201903	","03033200	","Frozen plaice	","344	","Russian Federation	","60080	","Kilogram	","0	","?	","91,986	",
"201903	","03033900	","Other frozen flat fish	","344	","Russian Federation	","2457219	","Kilogram	","0	","?	","5,044,260	",
"201903	","03035100	","Frozen herrings	","344	","Russian Federation	","958346	","Kilogram	","0	","?	","542,392	",
"201903	","03036300	","Frozen cod	","344	","Russian Federation	","8217994	","Kilogram	","0	","?	","31,588,295	",
"201903	","03036400	","Frozen haddock	","344	","Russian Federation	","1485285	","Kilogram	","0	","?	","5,031,164	",
"201903	","03036700	","Frozen Alaska Pollack	","344	","Russian Federation	","119201208	","Kilogram	","0	","?	","167,756,825	",
"201903	","03036900	","Other Frozen Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae etc.	","344	","Russian Federation	","185680	","Kilogram	","0	","?	","466,057	",
"201903	","03038200	","Frozen rays and skates	","344	","Russian Federation	","65380	","Kilogram	","0	","?	","193,692	",
"201903	","03038910	","Frozen scabber fish	","344	","Russian Federation	","78714	","Kilogram	","0	","?	","47,370	",
"201903	","03038990	","Frozen fish, nes	","344	","Russian Federation	","531004	","Kilogram	","0	","?	","1,103,272	",
"201903	","03039100	","Frozen fish liver, roes and milt	","344	","Russian Federation	","712422	","Kilogram	","0	","?	","5,535,300	",
"201903	","03039900	","Other frozen edible fish offal	","344	","Russian Federation	","477564	","Kilogram	","0	","?	","1,025,204	",
"201903	","03047500	","Frozen fillets of Alaska pollack	","344	","Russian Federation	","292075	","Kilogram	","0	","?	","831,571	",
"201903	","03048600	","Frozen fillets of herrings	","344	","Russian Federation	","65856	","Kilogram	","0	","?	","42,806	",
"201903	","03049500	","Frozen meat of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae etc, other than Alaska Pollack	","344	","Russian Federation	","933964	","Kilogram	","0	","?	","2,147,307	",
"201903	","03049900	","Frozen meat of other fish	","344	","Russian Federation	","104433	","Kilogram	","0	","?	","180,278	",
"201903	","03061490	","Other frozen crabs	","344	","Russian Federation	","41230	","Kilogram	","0	","?	","915,970	",
"201903	","03061612	","Other frozen cold-water northern pandalus	","344	","Russian Federation	","102456	","Kilogram	","0	","?	","1,027,452	",
"201903	","03061619	","Other forzen cold-water shrimps	","344	","Russian Federation	","2400	","Kilogram	","0	","?	","58,976	",
"201903	","03063399	","Other live/fresh/chilled crabs, not for cultivation	","344	","Russian Federation	","605894	","Kilogram	","0	","?	","17,313,543	",
"201903	","03074390	","Other frozen cuttle fish and squid	","344	","Russian Federation	","14041	","Kilogram	","0	","?	","27,118	",
"201903	","03079200	","Frozen mollus nes	","344	","Russian Federation	","63096	","Kilogram	","0	","?	","1,037,879	",
"201903	","03081900	","Dried/salted/smoked sea cucumbers	","344	","Russian Federation	","125	","Kilogram	","0	","?	","21,157	",
"201903	","04090000	","Natural honey	","344	","Russian Federation	","23276	","Kilogram	","0	","?	","44,563	",
"201903	","05051000	","Raw feathers for stuffing; down	","344	","Russian Federation	","54203	","Kilogram	","0	","?	","1,714,814	",
"201903	","05071000	","Ivory, its powder&waste, unworked	","344	","Russian Federation	","10359	","Kilogram	","0	","?	","647,387	",
